variable,importancia_MAE,desviacion
clima_temp_min_dia_c,91.89195905068182,4.399517617155524
clima_temp_max_dia_c,68.65681186545812,5.2632020265433495
ESPECIE,14.800065084565961,2.308701518692159
EQUIPO,12.337509316442453,1.7990960609299569
CONTRATISTA,7.636461914136083,1.5323398180765824
PENDIENTE PROMEDIO FINCA,6.459167894805614,0.899173674128983
SUELO,4.296041988790905,1.5264077018250422
MARCA,3.701966365449271,1.3847826763930553
clima_temp_promedio_dia_c,3.375759341865588,0.568940747402544
ZONA,2.903433788687029,0.5902811996544911
T PROGRAMADO,1.1087595349008204,0.7370520846365964
TOTAL DE ARBOLES,0.7406849627069796,0.2422412844392286
clima_precipitacion_dia_mm,0.643952900348328,0.38689938266364926
HORAS DE OTRAS PARADA,0.474131950529182,0.1866396821043979
DIAMETRO,0.23480428245285836,0.2144133187583253
TURNO,0.17944570927443843,0.9884037471115332
clima_viento_promedio_dia_kmh,-0.264336728207612,0.2420935994766223
